problem,run,trial,accuracy,n_seen,program
trs.waves.1.c000,3,1,0,19,""
trs.waves.1.c000,3,2,1,431,".(C v0_) = NIL;"
trs.waves.1.c000,3,3,1,632,".(C v0_) = NIL;"
trs.waves.1.c000,3,4,1,826,".(C v0_) = NIL;"
trs.waves.1.c000,3,5,1,978,".(C v0_) = NIL;"
trs.waves.1.c000,3,6,1,1144,".(C v0_) = NIL;"
trs.waves.1.c000,3,7,1,1245,".(C v0_) = NIL;"
trs.waves.1.c000,3,8,1,1378,".(C v0_) = NIL;"
trs.waves.1.c000,3,9,1,1487,".(C v0_) = NIL;"
trs.waves.1.c000,3,10,1,1583,".(C v0_) = NIL;"
trs.waves.1.c000,3,11,1,1692,".(C v0_) = NIL;"
trs.waves.1.c000,1,1,0,42,""
trs.waves.1.c000,1,2,1,380,".(C v0_) = NIL; IF = IF;"
trs.waves.1.c000,1,3,1,564,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,4,1,634,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,5,1,659,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,6,1,680,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,7,1,695,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,8,1,709,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,9,1,719,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,10,1,743,".(v0_ v1_) = NIL;"
trs.waves.1.c000,1,11,1,758,".(v0_ v1_) = NIL;"
trs.waves.1.c000,2,1,0,25,"C = TAIL;"
trs.waves.1.c000,2,2,1,304,"8 = 9; .(C v0_) = NIL; C = TAIL;"
trs.waves.1.c000,2,3,1,1067,"8 = 9; .(C v0_) = NIL; C = TAIL;"
trs.waves.1.c000,2,4,1,1932,"8 = 9; .(C v0_) = NIL; C = TAIL;"
trs.waves.1.c000,2,5,1,2669,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,6,1,3129,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,7,1,3617,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,8,1,4056,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,9,1,4467,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,10,1,4865,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c000,2,11,1,5268,"8 = 9; .(C v0_) = NIL;"
trs.waves.1.c001,0,1,0,46,".(op25 v0_) = .(.(.(IF TRUE) v0_) v0_); .(op26 v0_) = v0_; .(op23 v0_) = .(op25 .(op26 v0_)); .(op24 v0_) = v0_; .(C v0_) = .(op23 .(op24 v0_)); FALSE = .(.(EQUAL 6) 5);"
trs.waves.1.c001,0,2,1,158,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,3,1,181,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,4,1,202,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,5,1,492,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,6,1,701,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,7,1,895,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,8,1,1098,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,9,1,1231,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,10,1,1485,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,0,11,1,1658,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c000,0,1,0,66,""
trs.waves.1.c000,0,2,1,391,".(C v0_) = NIL;"
trs.waves.1.c000,0,3,1,643,".(C v0_) = NIL;"
trs.waves.1.c000,0,4,1,749,".(C v0_) = NIL;"
trs.waves.1.c000,0,5,1,871,".(C v0_) = NIL;"
trs.waves.1.c000,0,6,1,1025,".(C v0_) = NIL;"
trs.waves.1.c000,0,7,1,1143,".(C v0_) = NIL;"
trs.waves.1.c000,0,8,1,1235,".(C v0_) = NIL;"
trs.waves.1.c000,0,9,1,1385,".(C v0_) = NIL;"
trs.waves.1.c000,0,10,1,1461,".(C v0_) = NIL;"
trs.waves.1.c000,0,11,1,1529,".(C v0_) = NIL;"
trs.waves.1.c000,4,1,0,71,"C = .(CONS .(DIGIT 9));"
trs.waves.1.c000,4,2,1,382,"C = .(CONS .(.(DECC .(DIGIT 6)) 5)); .(C v0_) = NIL; 1 = 9;"
trs.waves.1.c000,4,3,1,819,"C = .(CONS .(.(DECC .(DIGIT 6)) 5)); .(C v0_) = NIL; 1 = 9;"
trs.waves.1.c000,4,4,1,1036,".(C v0_) = NIL;"
trs.waves.1.c000,4,5,1,1234,".(C v0_) = NIL;"
trs.waves.1.c000,4,6,1,1273,".(C v0_) = NIL;"
trs.waves.1.c000,4,7,1,1306,".(C v0_) = NIL;"
trs.waves.1.c000,4,8,1,1326,".(C v0_) = NIL;"
trs.waves.1.c000,4,9,1,1345,".(C v0_) = NIL;"
trs.waves.1.c000,4,10,1,1369,".(C v0_) = NIL;"
trs.waves.1.c000,4,11,1,1388,".(C v0_) = NIL;"
trs.waves.1.c005,1,1,0,103,"C = .(.(IF TRUE) NIL);"
trs.waves.1.c005,1,2,1,246,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,3,1,255,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,4,1,276,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,5,1,347,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,6,1,486,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,7,1,557,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,8,1,676,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,9,1,740,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,10,1,877,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c005,1,11,1,978,"C = .(.(IF FALSE) NIL);"
trs.waves.1.c001,4,1,0,18,""
trs.waves.1.c001,4,2,1,323,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,3,1,541,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,4,1,788,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,5,1,974,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,6,1,1183,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,7,1,1388,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,8,1,1627,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,9,1,1739,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,10,1,1959,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,4,11,1,2137,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c008,4,1,0,108,"C = .(.(IF TRUE) NIL);"
trs.waves.1.c008,4,2,0,254,".(C .(.(CONS .(.(DECC .(DIGIT 8)) 4)) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) NIL))) = .(.(CONS .(.(DECC .(DIGIT 8)) 4)) NIL); C = TAIL;"
trs.waves.1.c008,4,3,1,728,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,4,1,978,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,5,1,1167,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,6,1,1324,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,7,1,1644,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,8,1,2223,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,9,1,2375,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,10,1,2555,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c008,4,11,1,2700,".(C .(v0_ .(.(CONS .(v1_ v2_)) v3_))) = .(v0_ NIL);"
trs.waves.1.c002,3,1,0,57,"C = TAIL;"
trs.waves.1.c002,3,2,0,132,".(C .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 5)) .(.(CONS .(.(DECC .(DIGIT 2)) 0)) .(.(CONS .(.(DECC .(DIGIT 7)) 5)) .(.(CONS .(DIGIT 7)) NIL)))))))) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL)); C = TAIL;"
trs.waves.1.c002,3,3,1,393,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,4,1,571,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,5,1,783,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,6,1,961,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,7,1,1101,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,8,1,1225,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,9,1,1350,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,10,1,1446,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,11,1,1541,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c001,3,1,0,81,"C = TAIL;"
trs.waves.1.c001,3,2,1,500,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL); C = TAIL;"
trs.waves.1.c001,3,3,1,974,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,4,1,1197,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,5,1,1340,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,6,1,1560,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,7,1,1766,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,8,1,1950,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,9,1,2161,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,10,1,2362,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,3,11,1,2538,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,1,0,46,"C = .(.(.(.(.(IF FALSE) IF) IF) TRUE) .(TAIL NIL));"
trs.waves.1.c001,2,2,1,353,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,3,1,704,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,4,1,1005,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,5,1,1222,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,6,1,1400,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,7,1,1611,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,8,1,1789,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,9,1,1961,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,10,1,2129,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,2,11,1,2265,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c002,4,1,0,111,".(v0_ DIGIT) = .(.(DECC .(DIGIT 9)) 0); .(C v0_) = .(TAIL v0_);"
trs.waves.1.c002,4,2,1,355,".(C NIL) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL)); .(C .(.(CONS .(v0_ v1_)) v2_)) = .(C v2_); .(HEAD v0_) = .(.(.(.(IF FALSE) .(DECC .(.(DECC .(HEAD .(.(CONS .(DIGIT 7)) NIL))) 7))) DIGIT) 5);"
trs.waves.1.c002,4,3,1,643,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,4,1,706,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,5,1,759,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,6,1,880,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,7,1,937,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,8,1,1002,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,9,1,1054,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,10,1,1132,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,4,11,1,1187,".(C v0_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c008,2,1,0,95,".(C v0_) = NIL;"
trs.waves.1.c008,2,2,0,198,".(C .(.(CONS .(DIGIT v0_)) .(.(CONS .(.(DECC .(DIGIT v0_)) 4)) v1_))) = .(.(CONS .(DIGIT v0_)) NIL); HEAD = .(.(.(IF TRUE) HEAD) HEAD); 8 = 3;"
trs.waves.1.c008,2,3,1,459,".(C .(.(CONS .(v0_ v1_)) v2_)) = .(.(CONS .(v0_ v1_)) NIL); 7 = .(.(.(IF FALSE) 4) 3);"
trs.waves.1.c008,2,4,0,851,".(C .(.(CONS .(v0_ v1_)) v2_)) = .(.(CONS .(v0_ v1_)) NIL); 7 = .(.(.(IF FALSE) 4) 3);"
trs.waves.1.c008,2,5,1,1188,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) .(.(CONS .(DIGIT v4_)) .(.(CONS .(v5_ v6_)) .(.(CONS .(v7_ v8_)) v9_)))))) = .(.(CONS .(v0_ v1_)) NIL);"
trs.waves.1.c008,2,6,1,1433,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) .(.(CONS .(DIGIT v4_)) .(.(CONS .(v5_ v6_)) .(.(CONS .(v7_ v8_)) v9_)))))) = .(.(CONS .(v0_ v1_)) NIL);"
trs.waves.1.c008,2,7,1,1792,".(C .(.(CONS .(v0_ v1_)) v2_)) = .(.(CONS .(v0_ v1_)) NIL); .(C .(.(CONS .(.(DECC .(DIGIT 1)) 0)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 7)) .(.(CONS .(.(DECC .(DIGIT 6)) 7)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL)))))))))) = .(.(CONS .(.(DECC .(DIGIT 1)) 0)) NIL);"
trs.waves.1.c008,2,8,1,2275,".(C .(.(CONS .(v0_ v1_)) v2_)) = .(.(CONS .(v0_ v1_)) NIL); .(C .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 3)) .(.(CONS .(.(DECC .(DIGIT 8)) 3)) .(.(CONS .(.(DECC .(DIGIT 7)) 4)) .(.(CONS .(DIGIT 3)) NIL)))))) = .(.(CONS .(DIGIT 2)) NIL);"
trs.waves.1.c008,2,9,1,2765,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) .(.(CONS .(v4_ v5_)) v6_)))) = .(.(CONS .(v0_ v1_)) NIL);"
trs.waves.1.c008,2,10,1,3428,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) .(.(CONS .(v4_ v5_)) v6_)))) = .(.(CONS .(v0_ v1_)) NIL);"
trs.waves.1.c008,2,11,1,4009,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) .(.(CONS .(v4_ v5_)) v6_)))) = .(.(CONS .(v0_ v1_)) NIL);"
trs.waves.1.c009,3,1,0,38,""
trs.waves.1.c009,3,2,1,152,".(C .(.(CONS .(DIGIT 4)) .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(v0_ CONS) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))))) = .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(CONS .(DIGIT 3)) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))); C = TAIL;"
trs.waves.1.c009,3,3,1,240,".(C .(.(CONS .(DIGIT 4)) .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(v0_ CONS) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))))) = .(.(CONS .(.(DECC .(DIGIT 7)) 1)) .(.(CONS .(DIGIT 3)) .(.(CONS .(.(DECC .(DIGIT 4)) 7)) .(.(CONS .(.(DECC .(DIGIT 8)) 9)) .(.(CONS .(DIGIT 0)) .(.(CONS .(.(DECC .(DIGIT 6)) 8)) NIL)))))); C = TAIL;"
trs.waves.1.c009,3,4,1,272,".(C .(.(CONS .(v0_ v1_)) .(.(CONS .(v2_ v3_)) v4_))) = .(.(CONS .(v2_ v3_)) v4_);"
